banker_id,first_name,last_name,gender,phone,dob,date_joined
10-7988777,Meghann,Randalston,Female,730-112-2493,3/12/1974,9/7/2013
59-0965845,Brana,Donnersberg,Female,173-848-1619,9/12/1983,1/1/2013
03-5801967,Tobit,Foord,Male,468-490-0832,8/17/1993,10/25/2016
42-7286348,Phil,Tavener,Female,722-464-5064,4/17/1984,1/15/2017
23-2470101,Benedikta,Glossup,Female,256-600-9552,1/27/1977,4/14/2019
68-9247614,Fabe,Simco,Male,246-330-2533,5/16/1979,6/29/2015
01-3699155,Sindee,O'Scollee,Female,475-981-1058,11/13/1985,5/6/2013
78-4021598,Catlee,Kennifeck,Female,870-183-4625,7/28/1982,7/15/2016
23-5634583,Charin,Vail,Female,711-476-2675,5/22/1988,8/21/2019
71-7187040,Ursa,Livingstone,Female,611-664-9699,9/5/1970,4/12/2017
56-0202232,Randee,Burdess,Female,677-810-7847,12/22/1981,3/29/2012
90-6830986,Etta,Mulderrig,Female,561-388-8566,10/8/1986,2/4/2016
11-9295346,Kennan,Lamberti,Male,422-476-5380,4/18/1986,2/7/2016
60-8811537,Letty,Philot,Female,376-426-3283,8/3/1989,8/20/2012
82-5305051,Barthel,Manssuer,Male,787-942-0083,5/24/1976,9/1/2014
88-1843659,Derril,Kindleysides,Male,200-816-8417,10/14/1974,2/11/2017
29-5277223,Wendy,Loren,Female,997-565-3464,5/15/1976,1/17/2016
76-5546372,Naoma,Dellar,Female,467-752-0016,1/9/1976,1/30/2011
21-6557645,Rolland,Karpeev,Male,253-907-4862,3/18/1981,12/10/2014
08-6433961,Hanson,Slorance,Male,927-892-5614,3/26/1983,4/30/2021
73-2654558,Cathe,Foley,Female,242-886-0260,11/19/1981,12/16/2016
29-9068665,Teirtza,Stirman,Female,646-141-5243,12/13/1989,7/29/2016
91-8454719,Efrem,Minchin,Male,218-364-5586,3/17/1987,9/1/2011
70-6336105,Rayna,Alvaro,Female,508-328-7271,10/25/1982,12/10/2019
34-3158464,Grady,Chaunce,Male,952-357-0576,3/17/1991,10/27/2014
64-5762691,Grant,Pavlovsky,Male,110-259-6605,10/31/1975,7/2/2011
03-5081613,Winnah,Graal,Female,983-733-4494,4/1/1988,3/6/2010
02-6098382,Matthiew,Pregel,Male,499-545-1090,10/9/1971,7/8/2016
43-5135560,Elroy,Trapp,Male,143-226-0434,4/29/1991,4/2/2015
12-5402940,Noemi,Sollner,Female,605-798-8703,8/10/1980,9/13/2010
33-2283829,Lorianna,Pitherick,Female,689-146-1777,10/11/1978,9/8/2016
97-1039271,Allan,Wellbeloved,Male,688-882-1895,7/23/1986,5/22/2014
04-3201771,Lydon,Cowlard,Male,431-290-9009,8/30/1983,7/18/2013
03-4841081,Stearn,Chene,Male,549-280-7812,12/12/1984,3/27/2020
56-7724868,Jamil,Klassmann,Male,979-475-2277,2/17/1993,12/24/2015
39-1862734,Kessiah,Aery,Female,149-458-2734,11/10/1980,5/23/2013
98-2590988,Dud,Taunton.,Male,831-532-9441,6/13/1987,3/13/2019
46-8326323,Christian,Meynell,Male,286-109-6234,11/16/1970,1/25/2014
98-2464295,Engracia,Melato,Female,981-188-6750,11/23/1992,3/29/2021
57-9174880,Lancelot,Tilston,Male,153-502-7688,10/25/1971,9/18/2019
86-6798797,Kerwin,Ribou,Male,300-469-9672,7/24/1975,2/4/2017
03-0153800,Prince,Challenor,Male,510-590-3004,5/22/1976,11/6/2019
32-6901998,L;urette,Benallack,Female,615-385-7368,9/1/1970,4/16/2014
86-9370716,Carley,Boseley,Female,364-165-0754,8/31/1984,2/27/2020
82-6308176,Philomena,Benedito,Female,227-955-3164,5/6/1976,12/26/2018
50-7264215,Jasen,Gotling,Male,603-308-6298,9/25/1973,11/30/2020
35-4164936,Legra,Garlee,Female,877-273-1115,11/10/1976,7/8/2019
03-2641281,Leontyne,Andrichuk,Female,294-195-8559,8/19/1975,4/16/2021
41-2069333,Audra,Linebarger,Female,237-470-6944,1/17/1972,8/24/2016
26-7892906,Wakefield,Cropper,Male,560-387-7746,12/26/1983,9/7/2010
37-6739425,Colly,MacDowal,Female,178-609-6960,10/26/1973,12/7/2010
08-0694003,Karalynn,Hume,Female,107-449-4731,12/14/1986,5/14/2017
86-5248690,Garald,Bellfield,Male,800-605-2780,8/7/1980,5/14/2011
28-6107702,Nicholas,McAw,Male,319-827-7862,12/18/1975,10/12/2014
51-4875583,Amye,Feld,Female,318-409-4347,11/8/1971,1/18/2018
41-6180351,Davon,Shower,Male,578-187-2123,8/12/1970,11/21/2011
96-4949608,Floyd,Quickenden,Male,172-142-7111,5/19/1978,7/30/2016
91-6838638,Lyn,Spratt,Female,692-943-5601,7/11/1980,6/9/2020
04-0288086,Chic,Sailer,Male,969-601-1551,8/15/1971,8/19/2017
42-8495764,Alden,Petkens,Male,460-179-6930,4/26/1987,5/29/2014
82-9295259,Tobie,Noton,Male,349-110-1031,1/29/1981,10/21/2010
57-4015376,Jeniffer,Heephy,Female,482-505-8564,7/21/1972,12/1/2018
94-4238145,Sadella,Giacopini,Female,844-908-6208,5/27/1986,1/15/2018
44-0876203,Enrique,Gimber,Male,195-922-4614,4/19/1979,6/16/2016
76-9414112,Ayn,Bertolin,Female,103-414-3375,2/1/1982,2/16/2011
44-8539248,Case,Baldry,Male,287-672-4723,2/1/1987,10/29/2017
03-9598462,Constancy,Croutear,Female,910-319-4254,11/17/1973,5/22/2013
19-0370733,Renault,Monkley,Male,307-952-8623,2/27/1992,11/23/2011
69-3766552,Falito,Bootman,Male,949-538-1951,2/24/1981,10/8/2010
58-8806519,Gabby,Siveyer,Male,393-163-0237,9/25/1985,9/25/2010
84-8783169,Chaim,Jeavon,Male,916-983-4791,5/25/1975,3/30/2021
32-6476646,Fabian,Callis,Male,778-258-2489,6/20/1971,2/27/2012
25-5268119,Heath,Buick,Female,320-888-6039,9/17/1984,3/7/2017
15-2887598,Laurens,Hyland,Male,841-986-5119,8/10/1989,4/27/2014
79-0918535,Griffith,Orford,Male,543-828-7373,5/29/1979,1/18/2014
83-1977189,Margaux,Chesswas,Female,802-780-0148,6/29/1981,12/9/2020
42-3488693,Jethro,Antczak,Male,723-713-2351,3/19/1972,4/7/2020
15-3605472,Durante,Tydeman,Male,150-390-9784,5/27/1973,5/16/2010
57-9271668,Archambault,Yearnes,Male,434-512-4294,2/10/1977,12/20/2015
56-3253104,Thornton,Rossetti,Male,784-463-7798,3/3/1972,12/25/2019
17-8676655,Malynda,Maffioni,Female,213-347-1665,8/31/1994,4/19/2019
60-6798691,Artemus,Skeffington,Male,494-479-6482,9/3/1971,3/23/2014
80-7810944,Maitilde,Jantet,Female,275-477-4642,10/5/1983,9/18/2017
95-6639047,Birdie,Palia,Female,555-636-7196,11/10/1979,7/22/2015
93-2794896,Garrott,Salzburger,Male,674-194-5313,11/3/1985,7/28/2015
05-3910890,Saleem,Longman,Male,354-870-3340,1/8/1992,8/23/2020
83-7722614,Chicky,Kezourec,Male,992-600-4768,7/18/1976,2/4/2017
61-6711847,Mandel,Renon,Male,669-682-8624,5/8/1991,8/24/2014
79-4907072,Aurlie,Vittet,Female,793-156-1615,1/26/1985,7/28/2014
19-4765034,Melisa,Curme,Female,317-886-5827,7/18/1986,11/6/2012
56-5369339,Thacher,Fishwick,Male,917-644-1537,9/24/1978,2/4/2015
61-1054895,Finlay,Wathell,Male,730-684-8021,8/21/1989,7/13/2020
42-1549766,Bar,Lampens,Male,405-847-0318,7/7/1971,8/23/2019
17-5960538,Austin,Lusher,Male,628-327-8037,1/6/1975,10/2/2010
35-3245602,Kate,Stoner,Female,147-859-0713,11/12/1993,5/17/2010
05-4983398,Jock,Richardson,Male,434-783-9662,10/13/1990,7/7/2013
62-4829318,Dane,Cockran,Male,877-599-1804,2/24/1988,10/21/2012
74-6192526,Mattheus,Dewbury,Male,606-827-6144,12/26/1978,6/20/2010
53-6456036,Selestina,Buddock,Female,965-158-0483,5/25/1990,1/18/2021
16-8049656,Hermy,Growy,Male,533-369-9438,8/12/1993,11/19/2019
03-7065010,Hew,McCorley,Male,880-414-9931,5/29/1994,9/8/2013
78-5780674,Karon,MacLeese,Female,239-245-6465,9/7/1973,11/15/2019
66-4408344,Robinson,Cruden,Male,476-702-1726,12/15/1982,5/12/2019
95-3256521,Nonnah,Leindecker,Female,769-144-1091,11/29/1978,12/15/2015
71-6009953,Bennie,Perotti,Male,264-914-1438,9/30/1989,9/15/2019
53-8502036,Raddy,Dowdle,Male,638-253-2008,3/20/1990,4/15/2012
76-5949923,Myrtia,Giametti,Female,984-722-8173,7/8/1980,10/10/2018
64-0004025,Shayne,Rafferty,Male,262-680-3843,8/17/1974,11/9/2013
78-2049276,Lenette,Bothwell,Female,414-174-8503,1/11/1993,9/25/2018
79-2670881,Tommie,Aland,Female,808-788-0351,1/17/1979,6/20/2015
59-6136985,Toma,Resun,Female,985-355-7541,2/9/1985,12/29/2014
07-1695795,Mandel,Nockles,Male,941-167-7212,3/22/1980,5/4/2020
98-1151579,Renell,Cattermole,Female,657-112-2164,2/16/1988,6/23/2012
